detector row	table 0	table 1	table 2	table 3	wavelength
0	1	1	1	1	65535
1	1	0	0	0	3936.82
2	1	0	0	0	3930.15
3	1	1	1	1	3923.47
4	1	0	0	0	3916.79
5	1	0	0	0	3910.11
6	1	0	0	0	3903.44
7	1	0	0	0	3896.76
8	1	0	0	0	3890.08
9	1	0	0	0	3883.41
10	1	0	0	0	3876.73
11	1	0	0	0	3870.06
12	1	0	0	0	3863.39
13	1	0	0	0	3856.71
14	1	0	0	0	3850.04
15	1	0	0	0	3843.36
16	1	0	0	0	3836.69
17	1	0	1	1	3830.02
18	1	0	0	0	3823.35
19	1	0	0	0	3816.67
20	1	0	0	0	3810
21	1	0	0	0	3803.33
22	1	0	0	0	3796.66
23	1	0	0	0	3789.99
24	1	0	0	0	3783.32
25	1	0	0	0	3776.65
26	1	0	0	0	3769.98
27	1	0	0	0	3763.31
28	1	1	1	1	3756.65
29	1	0	0	0	3749.98
30	1	0	0	0	3743.31
31	1	0	0	0	3736.64
32	1	0	0	0	3729.98
33	1	0	0	0	3723.31
34	1	0	0	0	3716.64
35	1	0	0	0	3709.98
36	1	0	0	0	3703.31
37	1	0	0	0	3696.65
38	1	0	0	0	3689.98
39	1	0	0	0	3683.32
40	1	0	0	0	3676.65
41	1	0	0	0	3669.99
42	1	0	0	0	3663.33
43	1	0	0	0	3656.67
44	1	0	0	0	3650
45	1	0	0	0	3643.34
46	1	1	1	1	3636.68
47	1	0	0	0	3630.02
48	1	0	0	0	3623.36
49	1	0	0	0	3616.7
50	1	0	0	0	3610.04
51	1	0	0	0	3603.38
52	1	0	0	0	3596.72
53	1	0	0	0	3590.06
54	1	0	0	0	3583.4
55	1	0	0	0	3576.74
56	1	0	0	0	3570.08
57	1	0	1	1	3563.43
58	1	0	0	0	3556.77
59	1	0	0	0	3550.11
60	1	0	0	0	3543.46
61	1	0	0	0	3536.8
62	1	0	0	0	3530.15
63	1	0	0	0	3523.49
64	1	0	0	0	3516.84
65	1	0	0	0	3510.18
66	1	1	1	1	3503.53
67	1	0	0	0	3496.87
68	1	0	0	0	3490.22
69	1	0	0	0	3483.57
70	1	0	0	0	3476.92
71	1	0	0	0	3470.26
72	1	0	1	1	3463.61
73	1	0	0	0	3456.96
74	1	0	0	0	3450.31
75	1	0	0	0	3443.66
76	1	0	0	0	3437.01
77	1	0	0	0	3430.36
78	1	0	1	1	3423.71
79	1	0	0	0	3417.06
80	1	0	0	0	3410.41
81	1	0	0	0	3403.76
82	1	1	1	1	3397.12
83	1	0	0	0	3390.47
84	1	0	0	0	3383.82
85	1	0	0	0	3377.17
86	1	0	0	0	3370.53
87	1	0	0	0	3363.88
88	1	0	0	0	3357.24
89	1	0	0	0	3350.59
90	1	0	0	0	3343.95
91	1	0	0	0	3337.3
92	1	0	0	0	3330.66
93	1	1	1	1	3324.01
94	1	0	0	0	3317.37
95	1	0	0	0	3310.73
96	1	0	0	0	3304.08
97	1	0	0	0	3297.44
98	1	0	0	0	3290.8
99	1	0	0	0	3284.16
100	1	0	0	0	3277.52
101	1	0	0	0	3270.88
102	1	0	0	0	3264.24
103	1	0	0	0	3257.6
104	1	1	1	1	3250.96
105	1	0	0	0	3244.32
106	1	0	0	0	3237.68
107	1	0	0	0	3231.04
108	1	0	0	0	3224.4
109	1	0	0	0	3217.76
110	1	0	0	0	3211.13
111	1	0	0	0	3204.49
